profile_id,name,username,topic,text,date,time,likes,comments,reposts,theme
566526924059459584,The Mindfulness Meditation Institute,@TrainingMindful,health,“How to Better Cope with Grief through Mindfulness” https://mindfulnessmeditationinstitute.org/2022/07/14/7-powerful-mindfulness-tips-for-better-coping-with-grief/ #grief #healing #depression #mindfulness #copingwithgrief #stressrelief #health #mentalhealth #health #stressmanagement #hearthealth #stroke,2024-01-12,23:55,9,0,1,Mindful Meditation Grieving
1565046183545843712,Nancy Gerber,@NancyGCND,health,Quaker products recalled in Canada over salmonella #CanadianHealth #CanadianHealth #Health #HealthCanada #HealthyCanadians [Video] Dozens of products including granola bars and cereals sold at grocery stores across Canada are being recalled due to… dlvr.it/T1K2jY,2024-01-12,23:54,0,0,0,
895529569968472065,Global Eat,@GlobalEAT,health,Not a pleasant trip for those impacted by the Norovirus outbreak.  #cruises #cruising #health https://www.usatoday.com/story/travel/cruises/2024/01/12/celebrity-constellation-norovirus-outbreak/72206773007/,2024-01-12,23:47,0,0,0,
1687918233838301185,CanMyDogEat.org,@CanMyDogEat,health,"Some safe alternatives to garlic bread for dogs include plain, cooked meats, vegetables like carrots or green beans, and small amounts of plain, unsalted popcorn.  Read more 👉 https://lttr.ai/AM2zl #GarlicBread #Dogs #Puppies #Mansbestfriend #Food #Health #Dogfood #Dog",2024-01-12,23:44,1,0,0,Dog Garlic Bread Alternatives
1178662976112484352,Beyond Pesticides,@ByondPesticides,health,"As we commemorate Dr. #MartinLutherKing Jr., an inspiration in recognizing #justice, #equity, & safety as vital to a #sustainable future, it is crucial to reflect on issues impacting communities' #health & well-being. #environmentaljustice #mlk Blog Post: https://ow.ly/OO6050QqzZA",2024-01-12,23:45,7,0,3,Dr. Martin Luther King Jr. Health
1326742655804596224,Healthyious,@healthyious,health,Discover the crucial role of optometrists in diagnosing glaucoma and how their expertise can help prevent vision loss.  #health #healthy #healthyious #wellness #fitness https://i.mtr.cool/zshgbpxvnd,2024-01-12,23:44,0,0,0,Optometrists Diabetes Detection
1164976706471563264,Robin Thompson,@MsThompsonBCPS,health,"As the new year begins, is your #Health on your mind? Check out a #community event on January 20th at @Walmart Free screenings, vaccinations, and pharmacist consultations. #TakeCare #Community of #Care @flesbcps",2024-01-12,23:43,7,0,1,New Year Health Check
1037034619764449286,"David Broder, DO",@DavidBroderDO,health,"Colorado doctor prescribes ping pong treatment for neurodegenerative disorders, e.g. Parkinson's disease.  Why not give it your best shot.  https://www.foxnews.com/health/colorado-doctor-prescribes-pingpong-treatment-neurodegenerative-disorders-something-good #MedTwitter #Health #neurotwitter #neuroscience #Neurology #MultipleSclerosis #PingPong #TableTennis #Parkinsons",2024-01-12,23:42,8,1,2,Ping Pong Treatment Colorado
55364433,ThommyB,@ThommyB,health,"Fatigue: The Science of it #VIDEO Fibromyalgia is a long-term condition that causes pain in the muscles, ligaments, and tendons. It can also cause fatigue. #Pain #Medicine #Health #Illness #ChronicIllness #ChronicPain #Fibromyalgia #Fatigue https://buff.ly/46spxYJ",2024-01-12,23:41,0,0,0,Fatigue Fibromyalgia Science
1565046183545843712,Nancy Gerber,@NancyGCND,health,"Flu down, but still high in 2024 #CanadaHealth #CanadaHealth #CDNNews #Health #HealthCanada [Video] The latest weekly data from the Public Health Agency of Canada (PHAC) shows that influenza activity is falling nationally, but remains high, in the new ... dlvr.it/T1K1vN",2024-01-12,23:41,0,0,0,Canada Flu Health
